Name1,Name,Location,Cohort Date,# Co's,ExitValue,Funding Total
,YC S05,"Boston, MA, US",6/2005,9,"71658100","90,103,705"
,YC W06,"Mountain View, CA, US",1/2006,7,"39000000","71,670,000"
,YC S06,"Boston, MA, US",6/2006,10,"248,000,000","106,114,000"
,YC W07,"Mountain View, CA, US",1/2007,13,"983,000,000","76,806,762"
,YC S07,"Boston, MA, US",6/2007,19,"30,000,000","$       1,783,224,999"
,YC W08,"Mountain View, CA, US",1/2008,20,"285,000,000","407,319,400"
,YC S08,"Boston, MA, US",6/2008,23,"15,200,000","31,035,000"
,YC W09,"Mountain View, CA, US",1/2009,16,"88,000,000","$       4,409,207,100"
,YC S09,"Mountain View, CA, US",6/2009,29,"58,125,000","669,875,000"
,YC W10,"Mountain View, CA, US",1/2010,27,"245,600,000","176,922,000"
,YC S10,"Mountain View, CA, US",6/2010,36,"255,000,000","368,976,617"
,YC W11,"Mountain View, CA, US",1/2011,45,"70,000,000","356,468,972"
,YC S11,"Mountain View, CA, US",6/2011,64,"317,800,000","553,676,402"
,YC W12,"Mountain View, CA, US",1/2012,65,"100,000,000","$       1,043,961,057"
,YC S12,"Mountain View, CA, US",6/2012,87," 3,500,000","$       1,105,595,416"
,YC W13,"Mountain View, CA, US",1/2013,48,"15,000,000","$       1,156,947,059"
,YC S13,"Mountain View, CA, US",6/2013,55,"   350,000","521,084,000"
,YC W14,"Mountain View, CA, US",1/2014,75,"$       1,000,000,000","560,548,588"
,YC S14,"Mountain View, CA, US",6/2014,86,"20,000,000","440,092,768"
,YC W15,"Mountain View, CA, US",1/2015,113,,"404,552,131"
,YC S15,"Mountain View, CA, US",6/2015,107,,"177,404,976"
,YC W16,"Mountain View, CA, US",1/2016,123,,"210,442,429"
,YC S16,"Mountain View, CA, US",6/2016,96,,"96,552,068"
,YC W17,"Mountain View, CA, US",1/2017,103,,"30,737,211"
